Distance_(pixels),Gray_Value
0,0.0000
1,0.0000
2,0.0000
3,1.0000
4,0.0000
5,0.0000
6,0.8975
7,2.0000
8,23.1367
9,17.1538
10,16.8291
11,17.0000
12,17.0000
13,16.0000
14,14.2392
15,14.0000
16,15.0000
17,16.0000
18,16.0000
19,16.0000
20,16.0000
21,16.0000
22,16.0000
23,16.0000
24,17.0000
25,17.0000
26,17.0000
27,17.0000
28,17.0000
29,17.0000
30,17.0000
31,17.0000
32,17.0000
33,17.0000
34,17.0000
35,17.0000
36,17.0000
37,17.0000
38,17.0000
39,17.0000
40,17.0000
41,17.0000
42,18.0000
43,18.0000
44,18.0000
45,18.0000
46,18.0000
47,18.0000
48,18.0000
49,18.0000
50,18.0000
51,18.0000
52,18.0000
53,18.0000
54,18.0000
55,18.0000
56,18.0000
57,18.0000
58,18.0000
59,18.0000
60,18.0000
61,18.0000
62,18.0000
63,18.0000
64,18.0000
65,18.0000
66,18.0000
67,18.0000
68,18.0000
69,18.0000
70,17.0000
71,17.0000
72,17.0000
73,17.0000
74,18.0000
75,18.0000
76,19.0000
77,19.0000
78,19.0000
79,19.0000
80,19.0000
81,19.0000
82,19.0000
83,19.0000
84,19.0000
85,19.0000
86,19.0000
87,19.0000
88,19.0000
89,19.0000
90,20.0000
91,20.0000
92,20.0000
93,20.0000
94,20.0000
95,20.0000
96,20.0000
97,20.0000
98,20.0000
99,20.0000
100,20.0000
101,20.0000
102,20.0000
103,20.0000
104,20.0000
105,20.0000
106,20.0000
107,20.0000
108,20.0000
109,20.0000
110,20.0000
111,20.0000
112,20.0000
113,20.0000
114,20.0000
115,20.0000
116,20.0000
117,20.0000
118,20.0000
119,20.0000
120,20.0000
121,20.0000
122,20.0000
123,20.0000
124,20.0000
125,20.0000
126,20.0000
127,20.0000
128,20.0000
129,20.0000
130,20.0000
131,20.0000
132,20.0000
133,20.0000
134,20.0000
135,20.0000
136,20.0000
137,20.0000
138,20.0000
139,20.0000
140,20.0000
141,20.0000
142,20.0000
143,20.0000
144,20.0000
145,20.0000
146,20.0000
147,20.0000
148,20.0000
149,20.0000
150,20.0000
151,20.0000
152,20.0000
153,20.0000
154,20.0000
155,20.0000
156,20.0000
157,20.0000
158,20.0000
159,20.0000
160,20.0000
161,20.0000
162,20.0000
163,20.0000
164,20.0000
165,20.0000
166,20.0000
167,20.0000
168,20.0000
169,20.0000
170,20.0000
171,20.0000
172,20.0000
173,20.0000
174,20.0000
175,20.0000
176,20.0000
177,20.0000
178,20.0000
179,20.0000
180,20.0000
181,20.0000
182,20.0000
183,20.0000
184,20.0000
185,20.0000
186,20.0000
187,20.0000
188,20.0000
189,20.0000
190,20.0000
191,20.0000
192,20.0000
193,20.0000
194,20.0000
195,20.0000
196,20.0000
197,20.0000
198,20.0000
199,20.0000
200,20.0000
201,20.0000
202,20.0000
203,20.0000
204,20.0000
205,20.0000
206,20.0000
207,20.0000
208,20.0000
209,20.0000
210,20.0000
211,20.0000
212,20.0000
213,21.0000
214,21.0000
215,21.0000
216,21.0000
217,20.0000
218,21.0000
219,21.0000
220,21.0000
221,21.0000
222,21.0000
223,21.0000
224,21.0000
225,21.0000
226,21.0000
227,21.0000
228,21.0000
229,21.0000
230,21.0000
231,21.0000
232,21.0000
233,21.0000
234,21.0000
235,21.0000
236,21.0000
237,21.0000
238,21.0000
239,21.0000
240,21.0000
241,21.0000
242,21.0000
243,21.0000
244,21.0000
245,21.0000
246,21.0000
247,21.0000
248,21.0000
249,21.0000
250,21.0000
251,21.0000
252,21.0000
253,21.0000
254,21.0000
255,21.0000
256,21.0000
257,21.0000
258,21.0000
259,21.0000
260,21.0000
261,21.0000
262,21.0000
263,21.0000
264,21.0000
265,21.0000
266,21.0000
267,21.0000
268,21.0000
269,21.0000
270,21.0000
271,21.0000
272,21.0000
273,21.0000
274,21.0000
275,21.0000
276,21.0000
277,21.0000
278,21.0000
279,21.0000
280,22.0000
281,22.0000
282,22.0000
283,22.0000
284,22.0000
285,22.0000
286,22.0000
287,22.0000
288,22.0000
289,22.0000
290,22.0000
291,22.0000
292,22.0000
293,22.0000
294,22.0000
295,22.0000
296,22.0000
297,22.0000
298,22.0000
299,22.0000
300,22.0000
301,22.0000
302,22.0000
303,22.0000
304,23.0000
305,23.0000
306,23.0000
307,23.0000
308,23.0000
309,23.0000
310,23.0000
311,23.0000
312,23.0000
313,23.0000
314,23.0000
315,23.0000
316,23.0000
317,23.0000
318,23.0000
319,23.0000
320,23.0000
321,23.0000
322,24.0000
323,24.0000
324,24.0000
325,24.0000
326,24.0000
327,24.0000
328,25.0000
329,25.0000
330,25.0000
331,25.0000
332,25.0000
333,25.0000
334,25.0000
335,25.0000
336,25.0000
337,25.0000
338,25.0000
339,25.0000
340,25.0000
341,25.0000
342,26.0000
343,27.0000
344,26.0000
345,26.0000
346,26.0000
347,26.0000
348,26.0000
349,26.0000
350,26.0000
351,27.0000
352,27.0000
353,27.0000
354,26.0000
355,27.0000
356,27.0000
357,28.0000
358,28.0000
359,28.0000
360,28.0000
361,28.0000
362,28.0000
363,28.0000
364,28.0000
365,28.0000
366,28.0000
367,28.0000
368,29.0000
369,29.0000
370,29.0000
371,29.0000
372,29.0000
373,29.0000
374,29.0000
375,30.0000
376,30.0000
377,30.0000
378,30.0000
379,30.0000
380,31.0000
381,31.0000
382,31.0000
383,31.0000
384,31.0000
385,31.0000
386,32.0000
387,32.0000
388,32.0000
389,32.0000
390,32.0000
391,32.0000
392,32.0000
393,32.0000
394,32.0000
395,32.0000
396,32.0000
397,32.0000
398,32.0000
399,32.0000
400,32.0000
401,32.0000
402,32.0000
403,33.0000
404,34.0000
405,34.0000
406,34.0000
407,33.9538
408,34.0000
409,34.0000
410,34.0000
411,34.0000
412,34.0000
413,34.0000
414,34.0000
415,35.0000
416,35.0000
417,35.0000
418,35.0000
419,35.0000
420,35.0000
421,35.0000
422,35.0000
423,35.0000
424,35.0000
425,35.0000
426,35.0000
427,35.0000
428,36.0000
429,36.0000
430,36.0000
431,36.0000
432,36.0000
433,36.0000
434,36.0000
435,36.0000
436,36.0000
437,36.0000
438,36.0000
439,36.0000
440,36.0000
441,36.0000
442,36.0000
443,36.0000
444,36.0000
445,36.0000
446,36.0000
447,36.0000
448,36.0000
449,36.0000
450,36.0000
451,36.0000
452,36.0000
453,36.0000
454,36.0000
455,36.0000
456,38.0000
457,39.0000
458,38.0000
459,38.0000
460,38.0000
461,38.0000
462,38.0000
463,38.0000
464,38.0000
465,38.0000
466,38.0000
467,38.0000
468,38.0000
469,38.0000
470,38.0000
471,38.0000
472,38.0000
473,38.0000
474,38.0000
475,38.0000
476,38.0000
477,38.0000
478,38.0000
479,38.0000
480,39.0000
481,39.0000
482,39.0000
483,39.0000
484,39.0000
485,39.0000
486,39.0000
487,39.0000
488,39.0000
489,39.0000
490,39.0000
491,39.0000
492,39.0000
493,39.0000
494,39.0000
495,39.0000
496,39.0000
497,39.0000
498,39.0000
499,39.0000
500,39.0000
501,39.0000
502,39.0000
503,39.0000
504,39.0000
505,39.0000
506,39.0000
507,39.0000
508,39.0000
509,39.0000
510,39.0000
511,39.0000
512,39.0000
513,39.0000
514,40.0000
515,40.0000
516,40.0000
517,40.0000
518,40.0000
519,40.0000
520,40.0000
521,40.0000
522,40.0000
523,40.0000
524,40.0000
525,40.0000
526,40.0000
527,40.0000
528,40.0000
529,40.0000
530,40.0000
531,40.0000
532,40.0000
533,40.0000
534,40.0000
535,40.0000
536,40.0000
537,40.0000
538,40.0000
539,40.0000
540,40.0000
541,40.0000
542,40.0000
543,40.0000
544,40.0000
545,40.0000
546,40.0000
547,40.0000
548,40.0000
549,40.0000
550,40.0000
551,40.0000
552,40.0000
553,40.0000
554,40.0000
555,40.0000
556,40.0000
557,40.0000
558,40.0000
559,40.0000
560,40.0000
561,40.0000
562,40.0000
563,40.0000
564,40.0000
565,40.0000
566,40.0000
567,40.0000
568,40.0000
569,40.0000
570,40.0000
571,40.0000
572,40.0000
573,40.0000
574,40.0000
575,40.0000
576,40.0000
577,40.0000
578,40.0000
579,40.0000
580,40.0000
581,40.0000
582,40.0000
583,40.0000
584,41.0000
585,41.0000
586,40.9879
587,40.9709
588,40.0000
589,39.9367
590,39.9196
591,40.9025
592,41.0000
593,42.0000
594,42.0000
595,42.0000
596,42.0000
597,42.0000
598,42.0000
599,42.0000
600,42.0000
601,42.0000
602,42.0000
603,42.0000
604,42.0000
605,42.0000
606,42.0000
607,42.0000
608,42.0000
609,42.0000
610,41.0000
611,42.0000
612,42.0000
613,43.0000
614,43.0000
615,43.0000
616,43.0000
617,43.0000
618,43.0000
619,43.0000
620,43.0000
621,43.0000
622,43.0000
623,43.0000
624,43.0000
625,43.0000
626,43.0000
627,43.0000
628,43.0000
629,43.0000
630,43.0000
631,43.0000
632,43.0000
633,43.0000
634,43.0000
635,43.0000
636,44.0000
637,44.0000
638,44.0000
639,44.0000
640,44.0000
641,44.0000
642,44.0000
643,44.0000
644,44.0000
645,44.0000
646,44.0000
647,44.0000
648,44.0000
649,44.0000
650,44.0000
651,44.0000
652,44.0000
653,44.0000
654,44.0000
655,44.0000
656,44.0000
657,44.0000
658,44.0000
659,44.0000
660,44.0000
661,44.0000
662,44.0000
663,44.0000
664,44.0000
665,44.0000
666,46.0000
667,46.0000
668,46.5869
669,47.0000
670,47.0000
671,47.0000
672,46.5186
673,46.5015
674,46.0000
675,46.0000
676,46.0000
677,46.0000
678,46.0000
679,46.0000
680,46.0000
681,46.0000
682,46.0000
683,47.0000
684,47.0000
685,47.0000
686,47.0000
687,47.0000
688,47.0000
689,47.0000
690,47.0000
691,47.0000
692,47.0000
693,47.0000
694,47.0000
695,47.0000
696,47.0000
697,47.0000
698,47.0000
699,47.0000
700,48.0000
701,48.0000
702,48.0000
703,48.0000
704,48.0000
705,48.0000
706,48.0000
707,48.0000
708,48.0000
709,48.0000
710,48.0000
711,48.0000
712,48.0000
713,48.0000
714,48.0000
715,48.0000
716,48.0000
717,48.0000
718,48.0000
719,48.0000
720,48.0000
721,48.0000
722,48.0000
723,48.0000
724,48.0000
725,48.0000
726,48.0000
727,48.0000
728,49.0000
729,49.0000
730,50.0000
731,50.0000
732,50.0000
733,50.0000
734,50.0000
735,50.0000
736,50.0000
737,50.0000
738,50.0000
739,50.0000
740,50.0000
741,50.0000
742,50.0000
743,50.0000
744,50.0000
745,50.0000
746,51.0000
747,51.0000
748,51.0000
749,51.0000
750,51.0000
751,51.0000
752,51.0000
753,51.0000
754,51.0000
755,51.0000
756,51.0000
757,51.0000
758,52.0000
759,52.0000
760,52.0000
761,52.0000
762,52.0000
763,52.0000
764,52.0000
765,52.0000
766,52.0000
767,52.0000
768,52.0000
769,52.0000
770,52.0000
771,52.0000
772,52.0000
773,52.0000
774,52.0000
775,52.0000
776,52.0000
777,52.0000
778,53.0000
779,54.0000
780,54.0000
781,54.0000
782,54.0000
783,53.0000
784,54.0000
785,55.0000
786,54.0000
787,54.4462
788,55.0000
789,55.0000
790,55.0000
791,55.0000
792,55.0000
793,56.0000
794,56.0000
795,56.0000
796,56.0000
797,56.0000
798,56.0000
799,56.0000
800,56.0000
801,56.0000
802,56.0000
803,56.0000
804,56.2633
805,56.0000
806,56.0000
807,56.0000
808,57.0000
809,58.0000
810,58.0000
811,58.0000
812,58.0000
813,58.0000
814,58.0000
815,58.0000
816,58.9417
817,59.0000
818,59.0000
819,59.0000
820,59.0000
821,59.0000
822,60.0000
823,60.0000
824,60.0000
825,60.0000
826,60.0000
827,60.0000
828,60.0000
829,60.0000
830,61.0000
831,61.1980
832,62.0000
833,62.2322
834,62.0000
835,62.0000
836,62.0000
837,62.0000
838,62.0000
839,62.0000
840,61.3518
841,61.0000
842,62.0000
843,63.0000
844,63.4201
845,64.0000
846,63.0000
847,63.0000
848,63.0000
849,64.0000
850,63.0000
851,63.0000
852,64.0000
853,64.0000
854,64.0000
855,64.0000
856,64.0000
857,64.0000
858,63.3407
859,64.0000
860,64.0000
861,64.0000
862,64.7276
863,65.0000
864,65.0000
865,65.0000
866,65.0000
867,65.0000
868,65.0000
869,65.0000
870,65.0000
871,65.0000
872,65.0000
873,65.0000
874,65.0000
875,65.0000
876,65.0000
877,65.0000
878,65.0000
879,65.0000
880,65.0000
881,65.0000
882,65.0000
883,65.0000
884,65.0000
885,65.0000
886,65.0000
887,65.0000
888,65.0000
889,65.0000
890,65.0000
891,65.0000
892,65.0000
893,65.0000
894,65.0000
895,65.0000
896,65.0000
897,65.0000
898,64.0000
899,65.0000
900,66.0000
901,66.3940
902,66.4111
903,66.0000
904,67.0000
905,67.0000
906,67.0000
907,67.0000
908,67.0000
909,67.0000
910,67.0000
911,67.0000
912,67.0000
913,67.0000
914,67.0000
915,67.0000
916,67.0000
917,67.0000
918,67.0000
919,67.0000
920,67.0000
921,67.0000
922,67.0000
923,67.0000
924,67.0000
925,67.0000
926,67.0000
927,67.0000
928,67.0000
929,67.0000
930,67.0000
931,67.0000
932,67.0000
933,67.0000
934,67.0000
935,67.0000
936,67.0000
937,67.0000
938,67.0000
939,67.0000
940,67.0000
941,67.0000
942,67.0000
943,67.0000
944,67.0000
945,67.0000
946,68.0000
947,68.0000
948,68.0000
949,68.0000
950,67.7688
951,67.0000
952,67.0000
953,67.0000
954,68.0000
955,68.0000
956,68.0000
957,68.0000
958,68.0000
959,68.0000
960,68.0000
961,68.0000
962,66.0000
963,66.0000
964,67.0000
965,67.4874
966,68.0000
967,68.0000
968,68.0000
969,68.0000
970,68.0000
971,68.0000
972,68.0000
973,68.0000
974,68.0000
975,68.0000
976,68.0000
977,68.0000
978,68.0000
979,68.0000
980,68.0000
981,68.0000
982,68.0000
983,68.0000
984,68.0000
985,68.0000
986,68.0000
987,68.0000
988,68.0000
989,68.0000
990,68.0000
991,68.0000
992,68.0000
993,68.0000
994,68.0000
995,68.0000
996,68.0000
997,68.0000
998,68.0000
999,68.0000
1000,68.0000
1001,68.0000
1002,68.0000
1003,68.0000
1004,68.0000
1005,68.0000
1006,68.0000
1007,68.0000
1008,68.0000
1009,68.0000
1010,68.0000
1011,68.0000
1012,68.0000
1013,68.0000
1014,68.0000
1015,68.0000
1016,68.0000
1017,68.0000
1018,68.0000
1019,68.0000
1020,68.0000
1021,68.0000
1022,68.0000
1023,68.0000
1024,68.0000
1025,68.0000
1026,67.0000
1027,67.0000
1028,67.0000
1029,67.0000
1030,67.0000
1031,67.0000
1032,67.0000
1033,67.0000
1034,67.0000
1035,67.0000
1036,67.0000
